"Title","UK visits abroad: All visits Thousands - SA"
"CDID","GMAX"
"Source dataset ID","OTT"
"PreUnit",""
"Unit",""
"Release date","28-02-2020"
"Next release","To be announced"
"Important notes",
"1986","24947"
"1987","27447"
"1988","28830"
"1989","31033"
"1990","31150"
"1991","30809"
"1992","33831"
"1993","36720"
"1994","39700"
"1995","41350"
"1996","41850"
"1997","46000"
"1998","50980"
"1999","53870"
"2000","56620"
"2001","58360"
"2002","59620"
"2003","61440"
"2004","64040"
"2005","66560"
"2006","69550"
"2007","69510"
"2008","68790"
"2009","63617"
"2010","64606"
"2011","67522"
"2012","66674"
"2013","68971"
"2014","72225"
"2015","77734"
"2016","81458"
"2017","87241"
"2018","90637"
"2019","93116"
"1986 Q1","5635"
"1986 Q2","6216"
"1986 Q3","6509"
"1986 Q4","6587"
"1987 Q1","6564"
"1987 Q2","7007"
"1987 Q3","6942"
"1987 Q4","6934"
"1988 Q1","6670"
"1988 Q2","7106"
"1988 Q3","7378"
"1988 Q4","7676"
"1989 Q1","7945"
"1989 Q2","7630"
"1989 Q3","7786"
"1989 Q4","7672"
"1990 Q1","7620"
"1990 Q2","7851"
"1990 Q3","8109"
"1990 Q4","7570"
"1991 Q1","7388"
"1991 Q2","7565"
"1991 Q3","8019"
"1991 Q4","7837"
"1992 Q1","8523"
"1992 Q2","8602"
"1992 Q3","8592"
"1992 Q4","8114"
"1993 Q1","9282"
"1993 Q2","8853"
"1993 Q3","9305"
"1993 Q4","9280"
"1994 Q1","9810"
"1994 Q2","9920"
"1994 Q3","10160"
"1994 Q4","9810"
"1995 Q1","10220"
"1995 Q2","10460"
"1995 Q3","10260"
"1995 Q4","10410"
"1996 Q1","10310"
"1996 Q2","10220"
"1996 Q3","10070"
"1996 Q4","11250"
"1997 Q1","11300"
"1997 Q2","11330"
"1997 Q3","11180"
"1997 Q4","12190"
"1998 Q1","12470"
"1998 Q2","12620"
"1998 Q3","12790"
"1998 Q4","13100"
"1999 Q1","13280"
"1999 Q2","13880"
"1999 Q3","13350"
"1999 Q4","13360"
"2000 Q1","13510"
"2000 Q2","14030"
"2000 Q3","14530"
"2000 Q4","14550"
"2001 Q1","14570"
"2001 Q2","14830"
"2001 Q3","14770"
"2001 Q4","14190"
"2002 Q1","14710"
"2002 Q2","14790"
"2002 Q3","14800"
"2002 Q4","15320"
"2003 Q1","15300"
"2003 Q2","15330"
"2003 Q3","15360"
"2003 Q4","15450"
